club,city,versions
Monarcas Morelia,Morelia,15|16|17|18|19|20
Monterrey,Monterrey,15|16|17|18|19|20
Montpellier HSC,Montpellier,15|16|17|18|19|20
Montreal Impact,Montreal,15|16|17|18|19|20
Mordovia Saransk,Saransk,15|16
Morecambe,Morecambe,15|16|17|18|19|20
Moreirense FC,Moreira de Cónegos,15|16|17|18|19|20
Motherwell,Motherwell,15|16|17|18|19|20
Málaga CF,Málaga,15|16|17|18|19|20
NAC Breda,Breda,15|18|19
NEC Nijmegen,Nijmegen,16|17
Nagoya Grampus,Nagoya,17|19|20
Najran SC,Najran,15|16
Napoli,Naples,15|16|17|18|19|20
Netherlands,Amsterdam,15|20
Neuchâtel Xamax,Neuchâtel,19|20
New England Revolution,Foxborough,15|16|17|18|19|20
New York City FC,New York City,16|17|18|19|20
New York Red Bulls,Harrison,15|16|17|18|19|20
New Zealand,Wellington,15|16|18|19|20
Newcastle Jets,Newcastle,15|16|17|18|19|20
Newcastle United,Newcastle,15|16|17|18|19|20
Newell's Old Boys,Rosario,15|16|17|18|19|20
Newport County,Newport,15|16|17|18|19|20
Northampton Town,Northampton,15|16|17|18|19|20
Northern Ireland,Belfast,17|20
Norway,Oslo,18
Norwich City,Norwich,15|16|17|18|19|20
Nottingham Forest,Nottingham,15|16|17|18|19|20
Notts County,Nottingham,15|16|17|18|19
Novara,Novara,16|17|18
Nueva Chicago,Buenos Aires,16
Nîmes Olympique,Nîmes,15|16|17|18|19|20
OGC Nice,Nice,15|16|17|18|19|20
Odds BK,Skien,15|16|17|18|19|20
Odense Boldklub,Odense,15|16|17|18|19|20
Ohod Club,Medina,18|19
Oita Trinita,Oita,20
Oldham Athletic,Oldham,15|16|17|18|19|20
Olympiacos CFP,Piraeus,15|16|17|18|19|20
Olympique Lyonnais,Lyon,15|16|17|18|19|20
Olympique de Marseille,Marseille,15|16|17|18|19|20
Omiya Ardija,Saitama,17|18
Once Caldas,Manizales,15|16|17|18|19|20
Orlando City SC,Orlando,16|17|18|19|20
Orlando Pirates,Johannesburg,15|16|17|18|19|20
Os Belenenses,Lisbon,15|16|17|18|19|20
Osmanlıspor,Ankara,16|17|18
Oud-Heverlee Leuven,Leuven,16
Oxford United,Oxford,15|16|17|18|19|20
PAOK,Thessaloniki,15|16|17|18|19|20
PEC Zwolle,Zwolle,15|16|17|18|19|20
